hotel_name,locality,price,rating,score,review,link
Heri house ubud,"Downtown Ubud, Ubud","Rp 400,000",Wonderful ,9.1,90 reviews,https://www.booking.com/hotel/id/heri-house-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1109007201_383652143_2_1_0&highlighted_blocks=1109007201_383652143_2_1_0&matching_block_id=1109007201_383652143_2_1_0&sr_pri_blocks=1109007201_383652143_2_1_0__40000000&from=searchresults
Alam Dewa,"Downtown Ubud, Ubud","Rp 434,000",Wonderful ,9.0,131 reviews,https://www.booking.com/hotel/id/alam-dewa.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=856611301_390957322_2_1_0&highlighted_blocks=856611301_390957322_2_1_0&matching_block_id=856611301_390957322_2_1_0&sr_pri_blocks=856611301_390957322_2_1_0__43400000&from=searchresults
Meruhdani Boutique Hotel Ubud,"Downtown Ubud, Ubud","Rp 942,506",Very Good ,8.5,"1,088 reviews",https://www.booking.com/hotel/id/meruhdani-guesthouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=166145602_359642611_0_2_0_863503&highlighted_blocks=166145602_359642611_0_2_0_863503&matching_block_id=166145602_359642611_0_2_0_863503&sr_pri_blocks=166145602_359642611_0_2_0_863503_94250600&from=searchresults
Gading Homestay Ubud,"Peliatan, Ubud","Rp 400,000",Excellent ,8.9,187 reviews,https://www.booking.com/hotel/id/gading-homestay-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=221208801_117727656_2_1_0&highlighted_blocks=221208801_117727656_2_1_0&matching_block_id=221208801_117727656_2_1_0&sr_pri_blocks=221208801_117727656_2_1_0__40000000&from=searchresults
The Sender Pool Suites,"Downtown Ubud, Ubud","Rp 1,766,400",Excellent ,8.7,420 reviews,https://www.booking.com/hotel/id/the-sender-pool-suite.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=557062301_367371087_0_2_0&highlighted_blocks=557062301_367371087_0_2_0&matching_block_id=557062301_367371087_0_2_0&sr_pri_blocks=557062301_367371087_0_2_0__176640000&from=searchresults
Tu Sandat Homestay,"Peliatan, Ubud","Rp 449,000",Wonderful ,9.3,232 reviews,https://www.booking.com/hotel/id/tu-sandat-homestay.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=501736402_264247769_0_0_0_434607&highlighted_blocks=501736402_264247769_0_0_0_434607&matching_block_id=501736402_264247769_0_0_0_434607&sr_pri_blocks=501736402_264247769_0_0_0_434607_44900000&from=searchresults
Puri Kantor Legacy - Heritage Palace,"Downtown Ubud, Ubud","Rp 2,428,800",Exceptional ,10,6 reviews,https://www.booking.com/hotel/id/puri-kantor-legacy.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1300528503_407164754_0_0_0&highlighted_blocks=1300528503_407164754_0_0_0&matching_block_id=1300528503_407164754_0_0_0&sr_pri_blocks=1300528503_407164754_0_0_0__242880000&from=searchresults
Alila Ubud,Ubud,"Rp 7,677,633",Excellent ,8.9,335 reviews,https://www.booking.com/hotel/id/alila-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=4673124_287744725_2_1_0&highlighted_blocks=4673124_287744725_2_1_0&matching_block_id=4673124_287744725_2_1_0&sr_pri_blocks=4673124_287744725_2_1_0__767763271&from_sustainable_property_sr=1&from=searchresults
Lokasari Retreat,"Andong, Ubud","Rp 463,320",Very Good ,8.0,39 reviews,https://www.booking.com/hotel/id/lokasari-retreat.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=879604705_394006821_0_0_0_487526&highlighted_blocks=879604705_394006821_0_0_0_487526&matching_block_id=879604705_394006821_0_0_0_487526&sr_pri_blocks=879604705_394006821_0_0_0_487526_46332000&from=searchresults
Tut Winten Villa Ubud,"Peliatan, Ubud","Rp 956,800",Wonderful ,9.2,231 reviews,https://www.booking.com/hotel/id/tut-winten-villa-ubud.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1227588102_401275359_2_1_0_657493&highlighted_blocks=1227588102_401275359_2_1_0_657493&matching_block_id=1227588102_401275359_2_1_0_657493&sr_pri_blocks=1227588102_401275359_2_1_0_657493_95680000&from=searchresults
Sumantra Guest House,"Downtown Ubud, Ubud","Rp 700,000",Excellent ,8.6,464 reviews,https://www.booking.com/hotel/id/sumantra-guest-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=1062566401_378598436_2_1_0&highlighted_blocks=1062566401_378598436_2_1_0&matching_block_id=1062566401_378598436_2_1_0&sr_pri_blocks=1062566401_378598436_2_1_0__70000000&from=searchresults
Witantra house,"Downtown Ubud, Ubud","Rp 175,000",Wonderful ,9.2,160 reviews,https://www.booking.com/hotel/id/witantra-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=906425801_403819374_2_0_0&highlighted_blocks=906425801_403819374_2_0_0&matching_block_id=906425801_403819374_2_0_0&sr_pri_blocks=906425801_403819374_2_0_0__17500000&from=searchresults
Merthayasa Bungalow 2,"Downtown Ubud, Ubud","Rp 470,000",Very Good ,8.5,653 reviews,https://www.booking.com/hotel/id/merthayasa-bungalow-2-ubud1.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=153463807_236947177_2_1_0_253951&highlighted_blocks=153463807_236947177_2_1_0_253951&matching_block_id=153463807_236947177_2_1_0_253951&sr_pri_blocks=153463807_236947177_2_1_0_253951_47000000&from=searchresults
Santosha Place,Ubud,"Rp 747,788",Wonderful ,9.4,261 reviews,https://www.booking.com/hotel/id/santosha-place.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=546797201_265528162_0_1_0&highlighted_blocks=546797201_265528162_0_1_0&matching_block_id=546797201_265528162_0_1_0&sr_pri_blocks=546797201_265528162_0_1_0__74778800&from=searchresults
Divara Ubud,"Downtown Ubud, Ubud","Rp 549,000",Wonderful ,9.3,515 reviews,https://www.booking.com/hotel/id/divara-ubud-kabupaten-gianyar1.html?label=gen173nr-1FCAEoggI46AdIM1gEaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4Aorf8r8GwAIB0gIkNTg1NTE1YjYtMTlkMi00ODhhLWI1ZWQtZmYzZTg2MGIxY2Nl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-02&dest_id=-2701757&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2b222ffa68da0f7d&srepoch=1744613365&all_sr_blocks=924273201_364915051_0_1_0_410845&highlighted_blocks=924273201_364915051_0_1_0_410845&matching_block_id=924273201_364915051_0_1_0_410845&sr_pri_blocks=924273201_364915051_0_1_0_410845_54900000&from=searchresults
